image_name,Captions,Question,Answer,Category,Captions_en,Question_en,Answer_en
chitron_6616.png,'একটি লোহার সেতুর নীচ দিয়ে একটি নৌকায় কয়েকজন মানুষ যাচ্ছেন।,ছবিতে নৌকায় কতজন মানুষ রয়েছে?,পাঁচ,Number,Some people are going in a boat under an iron bridge,How many people are in the boat?,five
chitron_476.png,'মানুষ ভর্তি কিছু লঞ্চ নদী দিয়ে ভাসে আসছে।,ছবিতে কয়টি লঞ্চ দেখা যাচ্ছে?,চার,Number,Some launches full of people are floating in the river,How many launches are shown in the picture?,four
chitron_5515.png,'গাছের সারির মাঝে জামা কাপড় পরে দাড়িয়ে আছেন একজন মেয়ে যার চুল লম্বা।,গাছের সারির মাঝে দাঁড়িয়ে আছেন কত জন মেয়ে?,এক,Number,In the middle of the tree line there is a girl wearing clothes with long hair,How many women are standing in the rows of trees?,one
chitron_830.png,'৫ টি মেয়ে ও ১ টি ছেলে মেঝেতে বসে ছবি আঁকছে।,চিত্রে কতজন মেয়ে ছবি আঁকতে দেখা যাচ্ছে?,পাঁচ,Number,Five girls and one boy sitting on the floor drawing pictures,How many girls are shown in the picture?,five
bnature_1966.jpg,"রাস্তায় পানি আছে। অনেকগুলো গাড়ি আছে। রাস্তার পাশে অনেকগুলো ভবন আছে।,
 ব্যস্ত শহর।,
 চিরচেনা নগর জীবন।",ছবিতে প্রদর্শিত শহর কতটা ব্যস্ত?,অত্যন্ত ব্যস্ত,Misc,"There are water on the streets, there are many cars, there are many buildings on the sides of the streets, busy cities, familiar city life",How busy is the city shown in the picture?,busy
bnature_1388.jpg,"এক জন মা তার বাচ্চার সাথে শুয়ে আছে এবং একজন মহিলা উপর হয়ে বাচ্চাকে নিতে চাচ্ছে।,
 দুইজন নারী ও একটি নবজাতক শিশু আছে।,
 দুইজন নারী ও একটি নবজাতক শিশু শুয়ে আছে।",ছবিটিতে কয়জন মানুষ দেখা যাচ্ছে?,তিন,Number,"A mother lying with her baby and a woman trying to take the baby up, two women and a newborn baby, two women and a newborn baby lying down",How many people are in the picture?,three
chitron_5384.png,'কয়েকজন লোক দাড়িয়ে তাকিয়ে আছে।,চিত্রে কতজন লোক দেখা যাচ্ছে?,সাত,Number,Some people are standing there looking,How many people are in the picture?,seven
bnature_998.jpg,"১ জন মহিলা ২ জন পুরুষ হাতে ফুল নিয়ে একজন পুরুষকে অভিনন্দন জানাচ্ছে যার পিছনে দাড়িয়ে আছে ৪ জন পুরুষ ২ জন মহিলা।,
 আটজন পুরুষ ও তিনজন নারী দাড়িয়ে আছে।,
 একজন লোককে কিছু নারী পুরুষ মিলে ফুল দিয়ে শুভেচ্ছা জানাচ্ছে।",এই ছবিতে মোট কতজন ব্যক্তি দাঁড়িয়ে আছে?,এগারো,Number,"1 woman 2 men congratulate a man with flowers in hand, 4 men 2 women, eight men and three women standing behind him",How many people are standing in this picture?,eleven
bornon_1986.jpg,"কতগুলো সাদা ও কালো খরগোস আছে ।,
 কতগুলো খরগোস আছে ।,
 কতগুলো খরগোস খাবার খাচ্ছে ।",ছবিটিতে কতগুলো খরগোস খাবার খাচ্ছে?,পাঁচ,Number,"There are white and black rabbits, there are rabbits, there are rabbits eating",How many turtles are eating in the picture?,five
chitron_272.png,ক্ষেতের ভিতর চারজন মানুষ বসে কাজ করছে। একজন মানুষ দাড়িয়ে আছে। দূর দিয়ে দুইজন মানুষ হেঁটে যাচ্ছে। একটি গরুর গাড়ি দেখা যাচ্ছে।,ছবিতে কতজন মানুষ মাঠে কাজ করছে?,চার,Number,"Four men working in the fields, one man standing, two men walking in the distance",How many people are working in the field?,four
